Année;GDP ;FBCF;Import;Revenu
2000;1294250280;15,1800022;;62016111,47
2001;1273195335;15,61293145;98,37027472;55241299,89
2002;1261454551;16,11917832;105,6909658;47492912,83
2003;1323952026;14,42836386;137,8909793;50173751,29
2004;1352007434;14,51454934;156,9674624;74579089,36
2005;;16,29201582;187,5313477;80852276,25
2006;1423402275;16,77495538;192,9151504;85541874,24
2007;1456004648;14,6425158;220,0333664;91496639,44
2008;1490646906;17,32138285;268,4591333;96161890,61
2009;1540704134;17,98490767;268,3055163;
2010;1602924396;18,81421004;266,0118529;122925145,6
